Data,vista R$,vista US$
01/2014,288.98,119.88
02/2014,366.32,153.96
03/2014,437.24,187.79
04/2014,449.45,201.45
05/2014,429.28,193.22
06/2014,396.73,177.47
07/2014,387.87,174.33
08/2014,437.19,192.76
09/2014,433.52,185.81
10/2014,480.13,196.14
11/2014,460.96,180.61
12/2014,455.20,172.39
01/2015,465.93,176.77
02/2015,459.99,163.39
03/2015,447.10,142.24
04/2015,445.69,146.55
05/2015,421.95,137.88
06/2015,424.02,136.35
07/2015,414.50,128.63
08/2015,454.98,129.57
09/2015,456.95,117.05
10/2015,478.11,123.31
11/2015,469.39,124.29
12/2015,479.32,123.94
01/2016,491.31,121.21
02/2016,489.82,123.32
03/2016,491.07,132.94
04/2016,466.71,131.40
05/2016,460.37,130.20
06/2016,484.87,142.00
07/2016,498.52,152.15
08/2016,479.04,149.35
09/2016,502.95,154.57
10/2016,511.07,160.61
11/2016,556.74,166.83
12/2016,501.80,149.66
01/2017,514.23,161.03
02/2017,508.65,163.98
03/2017,485.92,155.46
04/2017,467.63,148.96
05/2017,455.69,142.04
06/2017,445.85,135.27
07/2017,451.90,141.28
08/2017,458.77,145.63
09/2017,453.46,144.61
10/2017,445.95,139.61
11/2017,452.88,138.96
12/2017,447.36,135.78
01/2018,446.42,139.10
02/2018,438.33,135.18
03/2018,429.82,131.18
04/2018,430.71,126.39
05/2018,451.02,124.03
06/2018,452.52,119.67
07/2018,439.25,114.79
08/2018,421.16,107.24
09/2018,415.39,101.15
10/2018,441.23,117.45
11/2018,441.59,116.63
12/2018,420.32,108.24
01/2019,410.87,109.95
02/2019,407.70,109.58
03/2019,395.61,102.95
04/2019,384.35,98.69
05/2019,389.04,97.38
06/2019,411.94,106.70
07/2019,423.67,112.09
08/2019,408.74,101.61
09/2019,430.63,104.43
10/2019,421.59,103.26
11/2019,475.11,114.22
12/2019,545.17,132.66
01/2020,493.03,118.90
02/2020,481.91,110.86
03/2020,556.28,113.73
04/2020,584.56,109.76
05/2020,574.16,101.82
06/2020,483.25,93.00
07/2020,505.97,95.90
08/2020,578.85,106.03
09/2020,564.62,104.66
10/2020,536.60,95.33
11/2020,565.47,104.38
12/2020,594.33,115.62
01/2021,639.71,119.40
02/2021,685.21,126.35
03/2021,731.86,129.75
04/2021,744.14,133.81
05/2021,822.24,155.39
06/2021,850.96,169.36
07/2021,914.54,177.15
08/2021,1033.92,196.96
09/2021,1087.61,205.48
10/2021,1222.20,220.78
11/2021,1347.73,242.40
12/2021,1452.15,256.67
01/2022,1482.59,268.44
02/2022,1485.35,286.16
03/2022,1284.41,258.71
04/2022,1251.33,263.40
05/2022,1261.08,255.04
06/2022,1333.00,263.90
07/2022,1318.78,245.76
08/2022,1302.16,253.08
09/2022,1297.93,248.14
10/2022,1135.49,216.44
11/2022,962.21,182.21
12/2022,1012.36,192.81
01/2023,1009.27,194.36
02/2023,1129.53,218.10
03/2023,1104.68,212.24
04/2023,1106.36,220.56
05/2023,1039.88,208.77
06/2023,928.86,191.64
07/2023,819.61,170.74
08/2023,826.89,168.65
09/2023,810.91,164.01
10/2023,829.44,163.82
11/2023,888.00,181.31
12/2023,974.46,198.90
01/2024,1003.74,204.34
