timestamp,cnt
2015-02-01,1117
2015-02-02,3556
2015-02-03,2972
2015-02-04,3502
2015-02-05,2894
2015-02-06,3214
2015-02-07,1165
2015-02-08,1824
2015-02-09,3721
2015-02-10,3788
2015-02-11,3671
2015-02-12,3729
2015-02-13,3205
2015-02-14,1475
2015-02-15,1870
2015-02-16,3323
2015-02-17,3582
2015-02-18,3582
2015-02-19,3559
2015-02-20,3051
2015-02-21,1530
2015-02-22,1294
2015-02-23,3618
2015-02-24,3841
2015-02-25,2651
2015-02-26,3628
2015-02-27,3398
2015-02-28,1224
2015-03-01,2006
2015-03-02,3573
2015-03-03,3818
2015-03-04,3803
2015-03-05,3807
2015-03-06,3548
2015-03-07,3179
2015-03-08,2179
2015-03-09,3886
2015-03-10,4033
2015-03-11,4053
2015-03-12,4125
2015-03-13,3609
2015-03-14,1625
2015-03-15,1153
2015-03-16,2760
2015-03-17,3734
2015-03-18,3889
2015-03-19,3787
2015-03-20,3515
2015-03-21,1377
2015-03-22,1941
2015-03-23,3719
2015-03-24,3864
2015-03-25,3858
2015-03-26,2658
2015-03-27,3514
2015-03-28,1651
2015-03-29,875
2015-03-30,3370
2015-03-31,3297
2015-04-01,3473
2015-04-02,2813
2015-04-03,1404
2015-04-04,1245
2015-04-05,2156
2015-04-06,3000
2015-04-07,3721
2015-04-08,3714
2015-04-09,3712
2015-04-10,3751
2015-04-11,2713
2015-04-12,3241
2015-04-13,3752
2015-04-14,4196
2015-04-15,4492
2015-04-16,4211
2015-04-17,3868
2015-04-18,3099
2015-04-19,1874
2015-04-20,4220
2015-04-21,4628
2015-04-22,4443
2015-04-23,4267
2015-04-24,4069
2015-04-25,2710
2015-04-26,1803
2015-04-27,4437
2015-04-28,4453
2015-04-29,4069
2015-04-30,4283
2015-05-01,3791
2015-05-02,2175
2015-05-03,2276
2015-05-04,3057
2015-05-05,3516
2015-05-06,3911
2015-05-07,4098
2015-05-08,3744
2015-05-09,2718
2015-05-10,3270
2015-05-11,4227
2015-05-12,4413
2015-05-13,4675
2015-05-14,3612
2015-05-15,4101
2015-05-16,3140
2015-05-17,3124
2015-05-18,3508
2015-05-19,4379
2015-05-20,4428
2015-05-21,4395
2015-05-22,3966
2015-05-23,2031
2015-05-24,2899
2015-05-25,2799
2015-05-26,4018
2015-05-27,4348
2015-05-28,4302
2015-05-29,3904
2015-05-30,2715
2015-05-31,1372
2015-06-01,4183
2015-06-02,3700
2015-06-03,4607
2015-06-04,4581
2015-06-05,3995
2015-06-06,2969
2015-06-07,3307
2015-06-08,4507
2015-06-09,4615
2015-06-10,4694
2015-06-11,4723
2015-06-12,4212
2015-06-13,2641
2015-06-14,2567
2015-06-15,4447
2015-06-16,4749
2015-06-17,4803
2015-06-18,4622
2015-06-19,4137
2015-06-20,2533
2015-06-21,2861
2015-06-22,3867
2015-06-23,4685
2015-06-24,4568
2015-06-25,4543
2015-06-26,4009
2015-06-27,3172
2015-06-28,2506
2015-06-29,4727
2015-06-30,4930
