timestamp,cnt,hum
2015-02-01,1117,87.0
2015-02-02,3556,70.0
2015-02-03,2972,93.0
2015-02-04,3502,93.0
2015-02-05,2894,93.0
2015-02-06,3214,84.0
2015-02-07,1165,87.0
2015-02-08,1824,87.0
2015-02-09,3721,93.0
2015-02-10,3788,93.0
2015-02-11,3671,81.0
2015-02-12,3729,81.0
2015-02-13,3205,93.0
2015-02-14,1475,96.5
2015-02-15,1870,96.5
2015-02-16,3323,100.0
2015-02-17,3582,81.0
2015-02-18,3582,81.0
2015-02-19,3559,90.0
2015-02-20,3051,93.0
2015-02-21,1530,93.0
2015-02-22,1294,88.0
2015-02-23,3618,78.5
2015-02-24,3841,81.0
2015-02-25,2651,93.0
2015-02-26,3628,94.0
2015-02-27,3398,81.0
2015-02-28,1224,93.0
2015-03-01,2006,85.0
2015-03-02,3573,81.0
2015-03-03,3818,84.0
2015-03-04,3803,84.0
2015-03-05,3807,81.0
2015-03-06,3548,71.0
2015-03-07,3179,82.0
2015-03-08,2179,90.0
2015-03-09,3886,91.0
2015-03-10,4033,82.0
2015-03-11,4053,90.0
2015-03-12,4125,87.0
2015-03-13,3609,78.5
2015-03-14,1625,81.0
2015-03-15,1153,93.0
2015-03-16,2760,93.0
2015-03-17,3734,100.0
2015-03-18,3889,96.5
2015-03-19,3787,81.5
2015-03-20,3515,87.0
2015-03-21,1377,81.0
2015-03-22,1941,75.0
2015-03-23,3719,84.0
2015-03-24,3864,81.5
2015-03-25,3858,84.0
2015-03-26,2658,90.0
2015-03-27,3514,82.0
2015-03-28,1651,93.0
2015-03-29,875,91.0
2015-03-30,3370,88.0
2015-03-31,3297,82.0
2015-04-01,3473,93.0
2015-04-02,2813,93.0
2015-04-03,1404,97.0
2015-04-04,1245,97.0
2015-04-05,2156,87.0
2015-04-06,3000,90.0
2015-04-07,3721,87.0
2015-04-08,3714,87.0
2015-04-09,3712,96.5
2015-04-10,3751,93.0
2015-04-11,2713,82.0
2015-04-12,3241,84.0
2015-04-13,3752,79.5
2015-04-14,4196,82.0
2015-04-15,4492,77.0
2015-04-16,4211,87.0
2015-04-17,3868,76.5
2015-04-18,3099,87.0
2015-04-19,1874,84.0
2015-04-20,4220,93.0
2015-04-21,4628,78.5
2015-04-22,4443,90.5
2015-04-23,4267,87.0
2015-04-24,4069,87.0
2015-04-25,2710,91.0
2015-04-26,1803,94.0
2015-04-27,4437,87.0
2015-04-28,4453,81.0
2015-04-29,4069,84.5
2015-04-30,4283,76.0
2015-05-01,3791,78.5
2015-05-02,2175,91.0
2015-05-03,2276,97.0
2015-05-04,3057,94.0
2015-05-05,3516,94.0
2015-05-06,3911,85.0
2015-05-07,4098,79.5
2015-05-08,3744,82.0
2015-05-09,2718,79.5
2015-05-10,3270,91.0
2015-05-11,4227,79.5
2015-05-12,4413,77.0
2015-05-13,4675,79.5
2015-05-14,3612,94.0
2015-05-15,4101,94.0
2015-05-16,3140,82.0
2015-05-17,3124,82.0
2015-05-18,3508,94.0
2015-05-19,4379,79.0
2015-05-20,4428,81.0
2015-05-21,4395,82.0
2015-05-22,3966,82.0
2015-05-23,2031,85.0
2015-05-24,2899,80.5
2015-05-25,2799,69.5
2015-05-26,4018,79.5
2015-05-27,4348,71.0
2015-05-28,4302,77.0
2015-05-29,3904,85.0
2015-05-30,2715,84.5
2015-05-31,1372,91.0
2015-06-01,4183,77.0
2015-06-02,3700,88.0
2015-06-03,4607,74.5
2015-06-04,4581,77.0
2015-06-05,3995,88.0
2015-06-06,2969,79.5
2015-06-07,3307,79.5
2015-06-08,4507,85.0
2015-06-09,4615,76.0
2015-06-10,4694,71.0
2015-06-11,4723,85.0
2015-06-12,4212,88.0
2015-06-13,2641,88.0
2015-06-14,2567,91.0
2015-06-15,4447,88.0
2015-06-16,4749,77.0
2015-06-17,4803,79.5
2015-06-18,4622,78.0
2015-06-19,4137,68.0
2015-06-20,2533,94.0
2015-06-21,2861,85.5
2015-06-22,3867,88.0
2015-06-23,4685,72.0
2015-06-24,4568,79.5
2015-06-25,4543,77.0
2015-06-26,4009,73.0
2015-06-27,3172,79.5
2015-06-28,2506,80.5
2015-06-29,4727,77.0
2015-06-30,4930,72.0
